label,message
ham,Hey how are you doing today
ham,Can you call me when you are free
spam,Congratulations you won a free prize
ham,Please bring some milk on your way home
spam,You have won 10000 dollars click now
ham,Are we meeting tomorrow
spam,URGENT claim your free reward now
ham,I will call you later
spam,You are selected for a cash prize
ham,Happy birthday have a great day
spam,Win a brand new mobile phone today
ham,Please send me the notes
ham,Let's have lunch tomorrow
spam,Congratulations claim your lottery prize
ham,Can you pick me up at 6 pm
spam,Free entry in our lucky draw click here
ham,Thank you for your help
spam,You have been selected to win a free gift
ham,See you at college tomorrow
spam,Claim your free vacation package now
ham,What time is the class today
spam,Win cash instantly by clicking this link
ham,I am reaching home now
spam,Congratulations you are our lucky winner
ham,Please call me when you reach home
spam,Get a free coupon worth 500 now
ham,Can we meet this evening
spam,You won a free ticket claim now
ham,Don't forget to submit the assignment
spam,Limited time offer win a cash reward
